
映像名称                       PID 会话名              会话#       内存使用 
promecefpluginhost.exe       16976 Console                    1     24,784 K
Code.exe                     11984 Console                    1    430,512 K
Code.exe                      9624 Console                    1    170,628 K
Code.exe                     20108 Console                    1    105,328 K
conhost.exe                   1164 Console                    1      8,356 K
powershell.exe               16328 Console                    1     61,108 K
python.exe                    8448 Console                    1     23,476 K
python.exe                    3052 Console                    1     21,864 K
conhost.exe                  14800 Console                    1      7,492 K
conhost.exe                  12852 Console                    1      7,480 K
Code.exe                      5208 Console                    1     97,040 K
python.exe                    1612 Console                    1    211,944 K
conhost.exe                   9856 Console                    1      7,500 K
python.exe                    1228 Console                    1     45,548 K
conhost.exe                  21352 Console                    1      7,476 K
msedge.exe                   11748 Console                    1     21,472 K
msedge.exe                   13864 Console                    1    115,984 K
msedge.exe                    6948 Console                    1     15,500 K
msedge.exe                    3740 Console                    1    143,724 K
msedge.exe                   17720 Console                    1     12,876 K
msedge.exe                    8908 Console                    1     11,256 K
Code.exe                      5496 Console                    1     98,108 K
wpscloudsvr.exe              22440 Console                    1      6,364 K
svchost.exe                  14972 Services                   0     10,332 K
msedge.exe                   21172 Console                    1     34,364 K
svchost.exe                  18604 Services                   0     16,344 K
conhost.exe                   6448 Console                    1      9,076 K
powershell.exe                3392 Console                    1     81,188 K
python.exe                    6604 Console                    1     72,740 K
svchost.exe                  14712 Services                   0     10,768 K
WmiPrvSE.exe                 21444 Services                   0     16,524 K
tasklist.exe                 22288 Console                    1     11,720 K
